Player,Age,Pos,Min_24,90s_24,Gls_24,Ast_24,G+A_24,xG_24,npxG_24,xAG_24,PrgC_24,PrgP_24,PrgR_24,Min_25,90s_25,Gls_25,Ast_25,G+A_25,PrgC_25,PrgP_25,PrgR_25,xG_25,xAG_25,Age_current,GA_per90_24,xG_per90_24,xAG_per90_24,GA_per90_25,xG_per90_25,xAG_per90_25,GA_consistency,GA_volatility,xG_consistency,xG_volatility,xAG_consistency,xAG_volatility,GA_trend,xG_trend,xAG_trend,Pos_encoded,Pos_24
Adrien Truffert,22.0,DF,2752.0,30.6,2.0,2.0,4.0,2.4,2.3,3.2,69.0,104.0,243.0,360.0,4.0,0.0,0.0,0.0,11.0,19.0,14.0,0.0,0.0,24.0,0.13071895424836602,0.0784313725490196,0.10457516339869281,0.0,0.0,0.0,0.06535947712418301,0.13071895424836602,0.0392156862745098,0.0784313725490196,0.05228758169934641,0.10457516339869281,-0.13071895424836602,-0.0784313725490196,-0.10457516339869281,0,DF
Adrià Altimira,23.0,DF,1630.0,18.1,0.0,0.0,0.0,0.3,0.3,0.5,23.0,42.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.016574585635359115,0.027624309392265192,0.0,0.0,0.0,0.0,0.0,0.008287292817679558,0.016574585635359115,0.013812154696132596,0.027624309392265192,0.0,-0.016574585635359115,-0.027624309392265192,0,DF
Adrià Pedrosa,26.0,DF,2298.0,25.5,1.0,1.0,2.0,0.9,0.9,1.6,41.0,79.0,96.0,87.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0784313725490196,0.03529411764705882,0.06274509803921569,0.0,0.0,0.0,0.0392156862745098,0.0784313725490196,0.01764705882352941,0.03529411764705882,0.03137254901960784,0.06274509803921569,-0.0784313725490196,-0.03529411764705882,-0.06274509803921569,0,DF
Adrián,37.0,GK,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,GK
Adrián Liso,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,3.8,3.0,0.0,3.0,1.0,2.0,20.0,2.55,0.0,26.0,0.0,0.0,0.0,0.7894736842105263,0.6710526315789473,0.0,0.39473684210526316,0.7894736842105263,0.3355263157894737,0.6710526315789473,0.0,0.0,0.7894736842105263,0.6710526315789473,0.0,3,MF
Adrián de la Fuente,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,3.3,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,MF
Adryelson,26.0,DF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,DF
Adu Ares,22.0,FW,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FW
Afonso Moreira,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.3,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,MF
Aihen Muñoz,26.0,DF,1098.0,12.2,0.0,0.0,0.0,0.2,0.2,0.3,26.0,38.0,28.0,169.0,1.9,0.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,28.0,0.0,0.01639344262295082,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,0.01639344262295082,0.012295081967213115,0.02459016393442623,0.0,-0.01639344262295082,-0.02459016393442623,0,DF
